Image_ID,ellipse_diameter,circle_diameter,real_depth,relative_depth,number_of_pixel,Target_Diameter,Circle_Error_Metric,Circle_Error_Percent,Ellipse_Error_Metric,Ellipse_Error_Percent
8,0.041980978,0.0416081481020815,0.3344109,0.8223482,168365,0.04,0.0016081481020814997,4.0203702552037495,0.0019809780000000013,4.9524450000000035
9,0.045986675,0.04600643402464945,0.34605938,0.8386478,192217,0.04,0.006006434024649447,15.016085061623619,0.005986674999999997,14.966687499999992
10,0.042722028,0.04274446368633458,0.32559943,0.8100183,187434,0.04,0.002744463686334582,6.861159215836454,0.0027220280000000013,6.805070000000003
11,0.04894422,0.04889795704938693,0.6400853,1.2500771,63469,0.04,0.00889795704938693,22.244892623467326,0.008944219999999996,22.36054999999999
13,0.043950703,0.04280222631316194,0.41182816,0.93067783,117478,0.04,0.0028022263131619388,7.0055657829048466,0.003950703,9.8767575
14,0.05096443,0.049761573872862765,0.7892405,1.4587893,43234,0.04,0.009761573872862764,24.40393468215691,0.010964429999999997,27.41107499999999
15,0.048648454,0.04876424409157915,0.55173415,1.1264477,84957,0.04,0.008764244091579151,21.910610228947878,0.008648454,21.621135
17,0.04495431,0.04476164372077524,0.29424536,0.7661447,251680,0.04,0.004761643720775241,11.904109301938103,0.0049543099999999965,12.38577499999999
18,0.040145136,0.04018407674143608,0.25160503,0.7064782,277412,0.04,0.0001840767414360775,0.46019185359019377,0.0001451359999999971,0.3628399999999927
22,0.050808553,0.0505727386249681,0.7428832,1.3939219,50402,0.04,0.010572738624968096,26.43184656242024,0.010808552999999999,27.021382499999998
23,0.044070583,0.04347416995150437,0.76373255,1.4230962,35240,0.04,0.0034741699515043675,8.685424878760918,0.004070583000000003,10.176457500000007
24,0.039964836,0.03989052050019683,0.2569945,0.71401966,262028,0.04,-0.00010947949980317367,-0.27369874950793416,-3.516400000000419e-05,-0.08791000000001048
